team,season,team_OPS,team_wRC,team_BB_pct,team_K_pct
- - -,2025,0.6320153846153846,76.67692307692307,0.08138461538461539,0.24703076923076922
ARI,2025,0.6835882352941177,89.05882352941177,0.07923529411764706,0.24358823529411766
ATH,2025,0.7003157894736841,92.10526315789474,0.07778947368421052,0.24842105263157893
ATL,2025,0.684125,90.5625,0.087,0.2405625
BAL,2025,0.6595555555555556,85.16666666666667,0.07327777777777778,0.2613333333333333
BOS,2025,0.713,94.27777777777777,0.07777777777777778,0.228
CHC,2025,0.7437142857142857,107.57142857142857,0.08521428571428571,0.20228571428571426
CHW,2025,0.6485625,81.0625,0.0855,0.2468125
CIN,2025,0.6786666666666666,84.53333333333333,0.07926666666666667,0.2438
CLE,2025,0.630625,76.0625,0.077625,0.26325
COL,2025,0.6567222222222222,69.11111111111111,0.07077777777777777,0.2579444444444444
DET,2025,0.694,94.47058823529412,0.08952941176470589,0.23841176470588235
HOU,2025,0.6944705882352941,94.82352941176471,0.08376470588235294,0.24694117647058825
KCR,2025,0.6483888888888889,78.5,0.07527777777777778,0.208
LAA,2025,0.6690588235294118,84.11764705882354,0.06982352941176471,0.28041176470588236
LAD,2025,0.7417142857142858,106.0,0.091,0.23614285714285715
MIA,2025,0.7151764705882353,97.3529411764706,0.079,0.2295294117647059
MIL,2025,0.7061333333333334,99.4,0.09013333333333333,0.2312
MIN,2025,0.6743076923076923,88.3076923076923,0.08961538461538462,0.2173076923076923
NYM,2025,0.7114666666666667,100.73333333333333,0.08353333333333333,0.22333333333333333
NYY,2025,0.7597142857142857,111.92857142857143,0.09971428571428571,0.22714285714285715
PHI,2025,0.7291428571428572,100.92857142857143,0.08207142857142857,0.21864285714285714
PIT,2025,0.6423333333333333,78.73333333333333,0.0932,0.24486666666666668
SDP,2025,0.6741428571428572,92.42857142857143,0.07671428571428572,0.2057857142857143
SEA,2025,0.7170769230769231,108.23076923076923,0.09315384615384616,0.22238461538461538
SFG,2025,0.6708,88.66666666666667,0.07286666666666666,0.22773333333333332
STL,2025,0.686,94.26666666666667,0.0766,0.2148
TBR,2025,0.6906666666666667,90.53333333333333,0.06833333333333333,0.2584
TEX,2025,0.6793125,90.75,0.07925,0.210875
TOR,2025,0.7553333333333333,111.33333333333333,0.08426666666666667,0.19526666666666664
WSN,2025,0.6685,85.5,0.0674375,0.2304375
